Time (d), O2 MC1 (%), CO2 MC1 (%), Time (d), O2 MC2 (%), CO2 MC2 (%), pH MC2, DO MC2 (uM), Time (d), O2 MC3 (%), CO2 MC3 (%), Time (d), O2 MC4 (%), CO2 MC4 (%), Time (d), O2 MC5 (%), CO2 MC5 (%), pH MC5, DO MC5 (uM), Time (d), O2 MC6 (%), CO2 MC6 (%)
1.66171,21.05,3.90E-02,1.66321,21.05,3.90E-02,7.21,190.14,1.66465,21.07,4.00E-02,1.6661,21.06,3.90E-02,1.66758,21.07,3.90E-02,7.35,259.8,1.66904,21.08,3.90E-02
1.70341,21.06,4.00E-02,1.7049,21.07,4.20E-02,7.21,188.96,1.70635,21.07,4.20E-02,1.70779,21.07,4.20E-02,1.70928,21.07,4.20E-02,7.35,258.11,1.71073,21.08,4.20E-02
1.7451,21.07,3.30E-02,1.7466,21.07,3.40E-02,7.2,187.97,1.74804,21.07,3.40E-02,1.74949,21.07,3.30E-02,1.75098,21.07,3.40E-02,7.35,257.29,1.75243,21.07,3.30E-02
1.78681,21.07,3.50E-02,1.78829,21.06,3.80E-02,7.2,185.33,1.78975,21.06,3.50E-02,1.79119,21.07,3.30E-02,1.79267,21.05,4.30E-02,7.35,255.35,1.79412,21.06,4.00E-02
1.8285,21.04,4.30E-02,1.82998,21.05,4.40E-02,7.21,186.39,1.83144,21.07,4.20E-02,1.83288,21.07,4.20E-02,1.83436,21.06,4.20E-02,7.36,253.65,1.83581,21.07,4.20E-02
1.87017,21.04,4.30E-02,1.87167,21.04,4.40E-02,7.2,183.52,1.87311,21.05,4.40E-02,1.87455,21.04,3.90E-02,1.87604,21.05,4.30E-02,7.35,251.95,1.87748,21.05,4.30E-02
1.91185,21.04,4.40E-02,1.91333,21.03,4.90E-02,7.19,179.65,1.91479,21.04,4.80E-02,1.91624,21.05,3.80E-02,1.91772,21.05,4.80E-02,7.36,246.8,1.91918,21.05,4.80E-02
1.95354,21.04,5.30E-02,1.95503,21.04,5.40E-02,7.18,175.37,1.95648,21.05,5.30E-02,1.95793,21.06,4.40E-02,1.95942,21.07,4.50E-02,7.35,242.34,1.96087,21.06,4.80E-02
1.99524,21.02,5.40E-02,1.99674,20.99,6.30E-02,7.16,170.33,1.99818,21.01,5.30E-02,1.99963,21.02,5.30E-02,2.00111,21.03,5.30E-02,7.34,236.37,2.00257,21.03,5.30E-02
2.03694,21,6.30E-02,2.03843,20.98,7.30E-02,7.13,169.34,2.03987,20.99,6.30E-02,2.04132,20.99,5.30E-02,2.04285,21,5.60E-02,7.3,231.15,2.04429,21.01,5.70E-02
2.07866,20.99,6.60E-02,2.08015,20.97,7.40E-02,7.02,170.62,2.0816,20.97,7.30E-02,2.08303,20.97,6.30E-02,2.08451,20.98,6.30E-02,7.17,234.9,2.08596,20.98,6.30E-02
2.12045,20.98,8.00E-02,2.12194,20.96,9.80E-02,6.94,168.34,2.12339,20.95,8.80E-02,2.12484,20.96,7.00E-02,2.12633,20.97,7.80E-02,7.12,232.91,2.12778,20.97,7.80E-02
2.16214,20.96,8.60E-02,2.16362,20.93,0.105,6.85,163.36,2.16507,20.93,9.70E-02,2.16652,20.92,8.50E-02,2.168,20.96,8.50E-02,7.04,227.75,2.16944,20.96,8.60E-02
2.20381,20.95,0.106,2.20529,20.91,0.133,6.84,162.19,2.20675,20.9,0.123,2.20818,20.9,0.1,2.20968,20.95,9.60E-02,6.99,220.96,2.21112,20.94,0.103
2.24549,20.94,0.117,2.24698,20.89,0.149,6.84,174.2,2.24843,20.88,0.129,2.24987,20.88,0.109,2.25135,20.93,0.104,6.98,224.12,2.25281,20.91,0.119
2.28718,20.91,0.14,2.28867,20.9,0.153,6.91,183.93,2.29012,20.88,0.134,2.29156,20.87,0.133,2.29306,20.92,0.123,6.99,238.54,2.2945,20.89,0.133
2.32887,20.9,0.145,2.33036,20.92,0.144,6.94,186.21,2.33181,20.91,0.133,2.33325,20.87,0.137,2.33475,20.93,0.123,7.04,250.14,2.33619,20.89,0.144
2.37056,20.9,0.146,2.37204,20.94,0.134,6.96,185.21,2.37348,20.92,0.124,2.37492,20.88,0.133,2.3764,20.94,0.115,7.06,252.25,2.37785,20.91,0.143
2.41231,20.9,0.137,2.41381,20.92,0.133,6.96,185.1,2.41524,20.93,0.113,2.41669,20.89,0.124,2.41817,20.94,0.113,7.08,251.95,2.41962,20.91,0.133
2.4541,20.93,0.134,2.45559,20.94,0.133,6.95,184.22,2.45704,20.95,0.113,2.45847,20.93,0.123,2.45995,20.96,0.109,7.08,250.2,2.4614,20.95,0.133
2.49576,20.93,0.134,2.49726,20.93,0.133,6.95,189.73,2.49869,20.95,0.113,2.50014,20.93,0.123,2.50161,20.95,0.113,7.07,256.93,2.50306,20.95,0.133
2.53755,20.96,0.123,2.53904,20.95,0.141,6.95,188.38,2.54049,20.97,0.115,2.54193,20.94,0.121,2.54341,20.98,0.111,7.07,255.23,2.54487,20.96,0.121
2.57925,20.97,0.129,2.58073,20.96,0.143,6.94,187.44,2.58218,20.99,0.111,2.58362,20.97,0.118,2.58512,20.99,0.118,7.06,253.48,2.58656,20.99,0.121
2.62094,20.98,0.127,2.62243,20.95,0.146,6.94,188.26,2.62388,20.96,0.116,2.62532,20.96,0.116,2.62682,20.97,0.12,7.06,255.12,2.62826,20.97,0.116
2.66264,20.96,0.122,2.66412,20.95,0.14,7,193.24,2.66558,20.96,0.117,2.66703,20.95,0.12,2.66851,20.95,0.121,7.06,255.18,2.66997,20.97,0.11
2.70433,20.97,0.127,2.70582,20.99,0.133,7.04,195,2.70727,20.98,0.123,2.70872,20.97,0.118,2.71021,20.98,0.123,7.1,261.68,2.71166,20.99,0.113
2.74603,20.97,0.125,2.74752,20.98,0.123,7.06,194.59,2.74897,20.97,0.113,2.75042,20.96,0.117,2.7519,20.97,0.113,7.15,263.85,2.75336,20.98,0.106
