Time (d), O2 MC1 (%), CO2 MC1 (%), Time (d), O2 MC2 (%), CO2 MC2 (%), pH MC2, DO MC2 (uM), Time (d), O2 MC3 (%), CO2 MC3 (%), Time (d), O2 MC4 (%), CO2 MC4 (%), Time (d), O2 MC5 (%), CO2 MC5 (%), pH MC5, DO MC5 (uM), Time (d), O2 MC6 (%), CO2 MC6 (%)
5.29043,21.05,5.10E-02,5.29191,21.04,4.40E-02,7.39,194.77,5.29348,21.05,4.30E-02,5.29505,21.03,4.30E-02,5.29652,21.05,4.30E-02,7.14,265.66,5.29809,21.05,4.30E-02
5.33212,21.06,4.30E-02,5.33359,21.06,5.00E-02,7.4,194.24,5.33516,21.07,4.60E-02,5.3366,21.05,4.60E-02,5.33807,21.07,4.40E-02,7.19,265.9,5.33964,21.07,4.30E-02
5.37376,21.06,5.10E-02,5.37523,21.05,5.00E-02,7.4,194.59,5.37668,21.06,5.00E-02,5.37811,21.05,5.00E-02,5.37959,21.04,5.00E-02,7.52,265.66,5.38104,21.03,5.00E-02
5.41546,21.05,4.30E-02,5.41693,21.04,4.40E-02,7.4,193.48,5.41838,21.04,4.30E-02,5.41981,21.04,4.60E-02,5.42128,21.03,4.70E-02,7.53,265.66,5.42273,21.03,4.30E-02
5.45723,21.06,4.80E-02,5.4587,21.05,4.80E-02,7.41,193.95,5.46015,21.04,4.80E-02,5.4616,21.04,4.80E-02,5.46308,21.05,4.90E-02,7.54,265.66,5.46451,21.06,4.80E-02
5.49899,21.06,4.70E-02,5.50046,21.06,4.70E-02,7.41,193.71,5.50191,21.06,4.40E-02,5.50334,21.03,4.40E-02,5.50481,21.03,4.50E-02,7.55,265.66,5.50626,21.05,4.10E-02
5.54087,21.06,5.30E-02,5.54234,21.05,5.30E-02,7.41,193.71,5.54377,21.06,4.30E-02,5.54535,21.05,4.40E-02,5.54682,21.05,5.00E-02,7.55,265.61,5.54839,21.06,4.40E-02
5.58265,21.05,4.80E-02,5.58412,21.04,4.80E-02,7.42,191.6,5.58569,21.04,4.80E-02,5.58727,21.05,3.90E-02,5.58874,21.06,4.80E-02,7.55,263.14,5.59031,21.05,4.80E-02
5.6242,21.07,4.50E-02,5.62567,21.06,4.60E-02,7.43,191.48,5.62711,21.06,4.40E-02,5.62854,21.06,4.70E-02,5.63001,21.05,4.60E-02,7.56,262.38,5.63145,21.05,5.00E-02
5.66594,21.05,4.30E-02,5.66741,21.05,4.30E-02,7.42,191.66,5.66884,21.08,4.30E-02,5.67029,21.06,4.30E-02,5.67175,21.03,4.30E-02,7.56,262.38,5.67319,21.06,3.60E-02
5.70767,21.07,4.20E-02,5.70916,21.07,4.30E-02,7.43,191.78,5.7106,21.09,4.10E-02,5.71204,21.09,4.10E-02,5.71353,21.08,4.20E-02,7.56,262.38,5.71498,21.07,4.10E-02
