MC,TP,B_C,ID,Portion_Filter_Used,Vol_Filtered,Balanced_Atomic_%13C,mm_Carbon,total_C,mm_atomic_C,POC (_M)
MC1,33.45715,C,C12_POC_TC0*,0.5,22,1.14657334,10.40927834,114.5020617,131.2850113,946.2980309
MC1,33.6724,C,C12_POC_TC0.25*,0.5,18,1.122599668,9.000770987,81.00693889,90.93836267,1000.085665
MC1,33.90248,C,C12_POC_TC0.75*,0.5,25,1.14,9.409918802,117.623985,134.0913429,752.7935042
MC1,34.4085,C,C12_POC_TC1,0.5,24,1.13,8.869554528,106.4346543,120.2711594,739.129544
MC1,35.45595,C,C12_POC_TC2,0.5,22,1.11,8.629276511,94.92204162,105.3634662,784.4796828
MC1,36.39626,C,C12_POC_TC3,0.5,29,1.1,10.09828851,146.4251834,161.0677018,696.4336903
MC1,40.42655,C,C12_POC_TC7,0.5,63,1.11,9.667695552,304.5324099,338.030975,306.9109699
MC1,47.43691,C,C12_POC_TC14,0.5,68,1.1,17.53846857,596.3079314,655.9387245,515.8373109
MC2,33.45715,C,Met_POC_TC0*,0.5,60,1.817064394,13.41977475,402.5932425,731.5378465,447.325825
MC2,33.6724,C,Met_POC_TC0.25*,0.5,51,2.552590081,12.62394327,321.9105534,821.7056855,495.0565988
MC2,33.90248,C,Met_POC_TC0.75*,0.5,54,2.750822538,10.86119085,293.2521529,806.6846314,402.2663278
MC2,34.4085,C,Met_POC_TC1,0.5,58,3.215427959,11.70839346,339.5434105,1091.777375,403.7377055
MC2,35.45595,C,Met_POC_TC2,0.5,62,3.800805705,12.33566887,382.405735,1453.449899,397.9248023
MC2,36.39626,C,Met_POC_TC3,0.5,61,5.110523386,11.28736006,344.2644818,1759.371685,370.077379
MC2,40.42655,C,Met_POC_TC7,0.5,64,8.451207329,14.0351927,449.1261663,3795.658348,438.5997719
MC2,47.43691,C,Met_POC_TC14,0.5,62,13.22113666,11.92132518,369.5610807,4886.01755,384.5588768
MC3,33.45715,C,Eth_POC_TC0*,0.5,48,2.152270269,16.2398043,389.7553032,838.8587513,676.6585125
MC3,33.6724,C,Eth_POC_TC0.25*,0.5,40,4.678443347,14.7174568,294.3491361,1377.095757,735.87284
MC3,33.90248,C,Eth_POC_TC0.75*,0.5,40,6.757688126,12.65786424,253.1572848,1710.757977,632.893212
MC3,34.4085,C,Eth_POC_TC1,0.5,51,9.982626159,15.52679551,395.9332855,3952.453973,608.8939416
MC3,35.45595,C,Eth_POC_TC2,0.5,48,12.45637285,13.43835887,322.5206128,4017.437004,559.9316196
MC3,36.39626,C,Eth_POC_TC3,0.5,63,13.0965147,15.53143187,489.240104,6407.340214,493.0613292
MC3,40.42655,C,Eth_POC_TC7,0.5,60,16.80701078,13.67694127,410.308238,6896.054977,455.8980423
MC3,47.43691,C,Eth_POC_TC14,0.5,66,14.25423589,11.77944014,388.7215247,5540.92831,356.9527315
MC4,33.45715,C,Ace_POC_TC0*,0.5,54,2.897644028,22.93020146,619.1154394,1793.976155,849.2667207
MC4,33.6724,C,Ace_POC_TC0.25*,0.5,58,5.019701658,25.69466428,745.1452642,3740.406918,886.0229062
MC4,33.90248,C,Ace_POC_TC0.75*,0.5,49,7.035256888,20.49335306,502.0871501,3532.312081,836.4633902
MC4,34.4085,C,Ace_POC_TC1,0.5,56,9.268536534,26.12214384,731.4200275,6779.193247,932.9337086
MC4,35.45595,C,Ace_POC_TC2,0.5,57,11.66670168,23.31775293,664.5559585,7753.176119,818.1667695
MC4,36.39626,C,Ace_POC_TC3,0.5,60,12.82862774,22.62402298,678.7206895,8707.055069,754.1340993
MC4,40.42655,C,Ace_POC_TC7,0.5,64,14.46916978,19.80069956,633.6223858,9167.989877,618.7718613
MC4,47.43691,C,Ace_POC_TC14,0.5,63,15.57159461,25.41564687,800.5928765,12466.50772,806.8459324
MC5,33.45715,C,Glu_POC_TC0*,0.5,63,2.191716598,22.52045664,709.394384,1554.791446,714.9351314
