,Ace.TB0,C12.TB0,Met.TB0,Axial_ExtractControl_CTRL_2019,Siders_Anoxic12m_JULY_2019,Siders_Surface_JULY_2019,Siders_Surface_MARCH_2019
Archaeplastida,0,0.006430868,0,0.027046263,0.0196409,0.016545334,0.137612406
Alveolata,0.228915663,0.247588424,0.165,0.018149466,0.058416927,0.426979925,0.15401194
Opisthokonta,0.337349398,0.209003215,0.255,0.784697509,0.38339796,0.093095081,0.05118042
Hacrobia,0,0.019292605,0.02,0,0.241422912,0.295141187,0.090965393
Stramenopiles,0.43373494,0.517684887,0.56,0.022064057,0.15480907,0.03885396,0.192632596
Rhizaria,0,0,0,0,0,0,0.002254317
Amoebozoa,0,0,0,0,0.000189665,0,0
Excavata,0,0,0,0,0.013002613,0,0
unassigned,0,0,0,0.148042705,0.129119953,0.129384514,0.371342929
