"","Kingdom","Phyla","Class","Order","Family","Genus","Species","Strain","ASV"
"42f9a06ade28929c069aa57ad1eacc5a","Eukaryota","Archaeplastida",NA,NA,NA,NA,NA,NA,NA
"46f63f7f90689be0923ee901f0c3829f","Eukaryota","Alveolata",NA,NA,NA,NA,NA,NA,NA
"75d5b38e2a395518d64e4fda6d35e3d3","Eukaryota","Opisthokonta",NA,NA,NA,NA,NA,NA,NA
"8cdfe3cba1c2b7e536f68eebe3d02eac","Eukaryota","Hacrobia",NA,NA,NA,NA,NA,NA,NA
"9b5fd611892fcf81b7bb66bc8045786e","Eukaryota","Stramenopiles",NA,NA,NA,NA,NA,NA,NA
"a336aa922a99dcbd9ebfb901ed354151","Eukaryota","Rhizaria",NA,NA,NA,NA,NA,NA,NA
"c393e24a57ffaf50872fd518194121e4","Eukaryota","Amoebozoa",NA,NA,NA,NA,NA,NA,NA
